"Text";"Id"
"@felipeneto A @RedeGlobo não tenho dúvidas irá se aliar ao Bolsonarismo: primeiro por ódio ao Lula; segundo por medo do Bolsonaro cancelar a concessão. O candidato da Globo para 2022, no entanto, é o Moro, que se livrará do chefe na hora certa.
A Globo tem apreço pela democracia desde 1964.";"1194015566069223424"
"RT @Leonardomequi1: Imagina todos os milhões que votaram em Bolsonaro, plantados na frente do atual edifício-sede, localizado na praça dos…";"1194015565532319748"
"RT @zjmariegmz: vo ali no banheiro solta a família bolsonaro já volto";"1194015565523881984"
"RT @OlavoOpressor: Na famosa declaração do Eduardo Bolsonaro sobre o AI-5, tudo o que ele fez foi apontar a uma possibilidade histórica e e…";"1194015565507158017"
"RT @OlavoOpressor: Na famosa declaração do Eduardo Bolsonaro sobre o AI-5, tudo o que ele fez foi apontar a uma possibilidade histórica e e…";"1194015565347721217"
"RT @fariasbolsogata: ?BOLSONARO VETA PEPPA NA REUNIÃO DO PSL
O PRESIDENTE @jairbolsonaro CONVOCOU REUNIÃO DO PSL PARA ANUNCIAR  SUA SAÍDA D…";"1194015565251305473"
"RT @AgoraNoticiasBr: Witzel critica governo e seguidores de Bolsonaro: ‘bolsominions que fazem terrorismo na internet’ https://t.co/km2tUGG…";"1194015563862986752"
"RT @felipeneto: Globo vem voando nos ataques sofridos pelo Bolsonaro e Lula.

A percepção do público médio cada vez mais fica influenciada…";"1194015563741384706"
"@sou_top_ok @OMiranh08664099 @Iucasxd @EversonZoio Não existe essa de religião etc... na minha visão... vc pode ser oq quiser... política e MT além de Bolsonaro x lula... sla é só cmo penso";"1194015561992331274"
"RT @ArthurWeint: Leda Nagle é uma mulher super competente e amável. Ela disse a completa verdade. Os filhos do PR Bolsonaro são bem-educado…";"1194015561262469123"
"RT @Rod_3030: Eu vim de outro plano, outro lado 
Pros careta, outro trago
Me da uma caneta 
Ou a baioneta e eu mato o Bolsonaro";"1194015554593607680"
"RT @N_Carvalheira: ANOTE AÍ

Em 1/11/2020 Bolsonaro, finalmente,  vai assumir de fato o comando da nação. 

Depois de quase  intermináveis…";"1194015551296815104"
